"1","29.34",
"2","29.34",
"3","29.34",
"4","39.12",
"5","48.90",
"6","57.13",
"7","65.33",
"8","73.53",
"9","81.73",
"10","81.99",
"11","88.97",
"12","95.95",
"13","102.93",
"14","109.91",
"15","116.90",
"16","111.74",
"17","118.33",
"18","124.91",
"19","131.50",
"20","137.86",
"21","144.68",
"22","144.80",
"23","150.76",
"24","156.71",
"25","162.66",
"26","168.61",
"27","174.57",
"28","180.51",
"29","186.47",
"30","178.53",
"31","183.82",
"32","189.11",
"33","194.40",
"34","199.69",
"35","204.98",
"36","210.27",
"37","215.56",
"38","220.85",
"39","226.14",
"40","231.43",
"41","236.72",
"42","242.01",
"43","247.30",
"44","252.59",
"45","238.05",
"46","242.73",
"47","247.41",
"48","252.09",
"49","256.77",
"50","261.45",
"51","270.10",
"52","270.81",
"53","275.49",
"54","280.17",
"55","284.86",
"56","289.54",
"57","294.22",
"58","298.90",
"59","303.58",
"60","303.58",
"61","285.37",
"62","289.73",
"63","294.07",
"64","298.42",
"65","302.78",
"66","307.13",
"67","335.28",
"68","315.83",
"69","320.18",
"70","324.54",
"71","328.88",
"72","333.23",
"73","337.59",
"74","341.94",
"75","346.28",
"76","350.64",
"77","354.99",
"78","359.34",
"79","363.69",
"80","368.04",
"81","371.94",
"82","376.75",
"83","381.09",
"84","385.44",
"85","389.80",
"86","394.15",
"87","398.49",
"88","402.85",
"89","407.20",
"90","391.12",
